 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
1,0,NaN,NaN,4536,NaN,NaN,0.000,1,129,255
2,0,NaN,NaN,4536,NaN,NaN,0.000,2,129,255
3,0,NaN,NaN,4536,NaN,NaN,0.000,3,129,255
4,0,NaN,NaN,4536,NaN,NaN,0.000,4,129,255
5,0,NaN,NaN,4536,NaN,NaN,0.000,5,129,255
6,0,NaN,NaN,4536,NaN,NaN,0.000,6,129,255
7,0,NaN,NaN,4536,NaN,NaN,0.000,7,129,255
8,0,NaN,NaN,4536,NaN,NaN,0.000,8,129,255
9,0,NaN,NaN,4536,NaN,NaN,0.000,9,129,255
10,0,NaN,NaN,4536,NaN,NaN,0.000,10,129,255
11,0,NaN,NaN,4536,NaN,NaN,0.000,11,129,255
12,0,NaN,NaN,4536,NaN,NaN,0.000,12,129,255
13,0,NaN,NaN,4536,NaN,NaN,0.000,13,129,255
14,0,NaN,NaN,4536,NaN,NaN,0.000,14,129,255
15,0,NaN,NaN,4536,NaN,NaN,0.000,15,129,255
16,0,NaN,NaN,4536,NaN,NaN,0.000,16,129,255
17,7,218.500,439.643,4536,36.276,0.246,87.516,17,129,255
18,4,224.250,506.250,4536,3.912,1.302,138.661,18,129,255
19,1,260.500,532.500,4536,1.128,1.128,0.000,19,129,255
20,9,855.500,322.833,4536,25.552,0.448,178.900,20,129,255
21,0,NaN,NaN,4536,NaN,NaN,0.000,21,129,255
22,0,NaN,NaN,4536,NaN,NaN,0.000,22,129,255
23,0,NaN,NaN,4536,NaN,NaN,0.000,23,129,255
24,2,241.500,520.000,4536,21.278,0.120,35.083,24,129,255
25,0,NaN,NaN,4536,NaN,NaN,0.000,25,129,255
26,0,NaN,NaN,4536,NaN,NaN,0.000,26,129,255
27,0,NaN,NaN,4536,NaN,NaN,0.000,27,129,255
28,0,NaN,NaN,4536,NaN,NaN,0.000,28,129,255
29,0,NaN,NaN,4536,NaN,NaN,0.000,29,129,255
30,0,NaN,NaN,4536,NaN,NaN,0.000,30,129,255
31,0,NaN,NaN,4536,NaN,NaN,0.000,31,129,255
32,0,NaN,NaN,4536,NaN,NaN,0.000,32,129,255
33,8,313.625,79.000,4536,3.651,2.790,55.278,33,129,255
34,0,NaN,NaN,4536,NaN,NaN,0.000,34,129,255
35,0,NaN,NaN,4536,NaN,NaN,0.000,35,129,255
36,1,0.500,971.500,4536,1.128,1.128,0.000,36,129,255
37,0,NaN,NaN,4536,NaN,NaN,0.000,37,129,255
38,0,NaN,NaN,4536,NaN,NaN,0.000,38,129,255
39,0,NaN,NaN,4536,NaN,NaN,0.000,39,129,255
40,0,NaN,NaN,4536,NaN,NaN,0.000,40,129,255
